latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.699997,-3.699997,796.0,7200,Europe/Berlin,CEST

time,temperature_2m_mean (°C),precipitation_sum (mm)
2013-01-01,5.9,2.50
2013-01-02,5.1,0.00
2013-01-03,5.2,0.00
2013-01-04,3.7,0.00
2013-01-05,4.7,0.00
2013-01-06,4.0,0.00
2013-01-07,2.9,0.00
2013-01-08,0.9,0.00
2013-01-09,2.7,0.60
2013-01-10,7.2,0.10
2013-01-11,6.1,0.00
2013-01-12,4.9,3.20
2013-01-13,1.8,3.00
2013-01-14,2.4,0.90
2013-01-15,3.6,0.00
2013-01-16,4.7,8.30
2013-01-17,6.8,3.50
2013-01-18,8.9,9.00
2013-01-19,7.0,19.70
2013-01-20,2.9,3.20
2013-01-21,3.2,1.20
2013-01-22,1.0,7.30
2013-01-23,0.5,3.50
2013-01-24,4.6,2.60
2013-01-25,3.0,1.00
2013-01-26,6.7,0.20
2013-01-27,5.5,4.70
2013-01-28,3.2,0.20
2013-01-29,3.6,0.00
2013-01-30,6.9,0.00
2013-01-31,7.7,0.00
2013-02-01,6.4,1.60
2013-02-02,3.8,4.80
2013-02-03,2.8,0.00
2013-02-04,3.8,0.00
2013-02-05,5.6,0.00
2013-02-06,3.1,1.20
2013-02-07,2.5,0.30
2013-02-08,2.3,1.10
2013-02-09,2.9,0.20
2013-02-10,2.4,7.80
2013-02-11,1.5,0.60
2013-02-12,2.4,0.00
2013-02-13,5.7,0.10
2013-02-14,4.6,0.00
2013-02-15,6.0,0.00
2013-02-16,5.6,0.00
2013-02-17,5.2,0.90
2013-02-18,7.4,1.80
2013-02-19,6.5,0.40
2013-02-20,7.0,0.00
2013-02-21,5.9,4.10
2013-02-22,5.2,17.70
2013-02-23,-1.1,7.60
2013-02-24,-1.5,0.90
2013-02-25,-0.9,0.90
2013-02-26,-0.6,3.70
2013-02-27,0.9,4.50
2013-02-28,1.2,0.00
2013-03-01,2.8,0.00
2013-03-02,3.6,0.00
2013-03-03,5.2,0.00
2013-03-04,6.9,1.70
2013-03-05,9.0,3.90
2013-03-06,8.2,3.00
2013-03-07,10.0,5.40
2013-03-08,8.0,4.00
2013-03-09,7.3,0.70
2013-03-10,6.7,1.70
2013-03-11,5.8,3.20
2013-03-12,4.7,4.90
2013-03-13,0.4,4.20
2013-03-14,2.1,0.50
2013-03-15,3.0,0.00
2013-03-16,4.7,4.00
2013-03-17,5.1,18.80
2013-03-18,3.7,0.70
2013-03-19,4.2,5.80
2013-03-20,4.8,0.50
2013-03-21,6.9,0.00
2013-03-22,6.6,2.50
2013-03-23,6.4,0.20
2013-03-24,6.1,3.40
2013-03-25,6.0,13.00
2013-03-26,8.8,19.20
2013-03-27,9.4,11.70
2013-03-28,9.5,2.00
2013-03-29,9.7,20.70
2013-03-30,8.9,1.50
2013-03-31,8.4,1.60
2013-04-01,7.9,7.10
2013-04-02,7.1,1.60
2013-04-03,6.9,2.10
2013-04-04,6.6,5.80
2013-04-05,3.1,3.30
2013-04-06,2.8,0.70
2013-04-07,3.9,0.10
2013-04-08,7.4,0.80
2013-04-09,8.6,1.00
2013-04-10,10.6,0.10
2013-04-11,11.3,2.80
2013-04-12,9.0,0.00
2013-04-13,10.7,0.00
2013-04-14,13.6,0.50
2013-04-15,14.7,1.10
2013-04-16,15.2,0.00
2013-04-17,16.6,0.00
2013-04-18,14.1,0.00
2013-04-19,8.0,1.40
2013-04-20,6.8,0.00
2013-04-21,7.9,0.00
2013-04-22,8.1,0.00
