latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.0,3.0,101.0,7200,Europe/Berlin,CEST

time,temperature_2m_mean (°C),precipitation_sum (mm)
2013-01-01,8.1,0.80
2013-01-02,6.6,0.00
2013-01-03,7.4,0.00
2013-01-04,8.1,0.00
2013-01-05,8.9,0.00
2013-01-06,9.2,0.00
2013-01-07,8.9,0.00
2013-01-08,9.0,0.00
2013-01-09,8.4,0.00
2013-01-10,8.6,0.00
2013-01-11,8.3,0.00
2013-01-12,7.1,0.00
2013-01-13,6.3,4.40
2013-01-14,4.9,1.60
2013-01-15,4.9,1.70
2013-01-16,4.6,0.20
2013-01-17,4.7,0.30
2013-01-18,5.1,0.40
2013-01-19,10.4,5.40
2013-01-20,8.5,0.00
2013-01-21,6.6,1.80
2013-01-22,5.8,0.00
2013-01-23,5.6,4.00
2013-01-24,4.8,0.00
2013-01-25,6.1,0.00
2013-01-26,6.4,0.80
2013-01-27,6.8,0.00
2013-01-28,9.3,2.40
2013-01-29,8.4,0.00
2013-01-30,8.9,0.00
2013-01-31,10.6,0.00
2013-02-01,10.4,0.00
2013-02-02,8.6,6.40
2013-02-03,5.9,0.00
2013-02-04,6.7,0.00
2013-02-05,8.9,0.00
2013-02-06,7.0,4.20
2013-02-07,4.9,0.00
2013-02-08,4.3,0.00
2013-02-09,4.6,0.00
2013-02-10,7.2,0.00
2013-02-11,7.3,2.60
2013-02-12,6.4,0.00
2013-02-13,6.9,0.00
2013-02-14,7.4,0.00
2013-02-15,8.9,0.00
2013-02-16,8.3,0.00
2013-02-17,9.1,1.20
2013-02-18,9.2,2.70
2013-02-19,9.1,0.00
2013-02-20,8.2,0.00
2013-02-21,7.9,1.80
2013-02-22,5.5,11.70
2013-02-23,2.7,0.40
2013-02-24,1.6,0.00
2013-02-25,2.8,0.00
2013-02-26,3.8,0.00
2013-02-27,5.8,1.00
2013-02-28,6.3,8.40
2013-03-01,7.3,38.10
2013-03-02,8.6,0.00
2013-03-03,8.3,0.00
2013-03-04,9.4,1.30
2013-03-05,11.7,32.10
2013-03-06,11.8,29.00
2013-03-07,11.2,0.00
2013-03-08,13.1,0.00
2013-03-09,12.4,0.90
2013-03-10,11.3,0.60
2013-03-11,11.0,0.00
2013-03-12,9.8,3.80
2013-03-13,6.2,4.50
2013-03-14,5.2,0.00
2013-03-15,6.0,0.00
2013-03-16,8.3,0.00
2013-03-17,11.3,0.30
2013-03-18,9.4,9.20
2013-03-19,9.3,0.80
2013-03-20,10.3,2.30
2013-03-21,10.8,0.00
2013-03-22,11.8,0.00
2013-03-23,11.6,0.80
2013-03-24,11.2,0.40
2013-03-25,10.5,1.20
2013-03-26,11.6,2.10
2013-03-27,10.7,6.30
2013-03-28,11.9,3.30
2013-03-29,13.2,0.70
2013-03-30,12.6,9.60
2013-03-31,10.7,0.00
2013-04-01,10.2,22.70
2013-04-02,10.2,3.80
2013-04-03,9.9,0.00
2013-04-04,10.6,8.70
2013-04-05,8.7,6.90
2013-04-06,8.1,3.20
2013-04-07,9.8,0.00
2013-04-08,10.1,1.30
2013-04-09,11.8,0.00
2013-04-10,12.5,0.00
2013-04-11,15.5,0.00
2013-04-12,13.3,0.50
2013-04-13,14.0,0.00
2013-04-14,14.1,0.00
2013-04-15,15.1,0.00
2013-04-16,15.8,0.00
2013-04-17,16.8,0.00
2013-04-18,15.6,0.00
2013-04-19,13.4,5.30
2013-04-20,12.1,0.00
2013-04-21,11.8,0.00
2013-04-22,12.5,0.00
2013-04-23,12.6,0.00
2013-04-24,13.1,0.00
2013-04-25,14.4,13.90
2013-04-26,14.4,1.70
2013-04-27,10.5,15.60
2013-04-28,8.9,6.70
2013-04-29,10.7,23.40
2013-04-30,14.4,0.10
2013-05-01,13.7,0.00
2013-05-02,13.5,1.30
2013-05-03,13.9,0.10
2013-05-04,14.9,0.00
2013-05-05,15.5,0.00
2013-05-06,16.3,0.20
2013-05-07,17.1,0.00
2013-05-08,17.7,1.30
2013-05-09,17.6,0.00
2013-05-10,15.2,0.00
2013-05-11,14.6,0.20
2013-05-12,14.7,0.00
2013-05-13,15.5,0.00
2013-05-14,15.7,1.30
2013-05-15,14.3,9.10
2013-05-16,11.9,4.40
2013-05-17,12.5,0.50
2013-05-18,14.1,7.20
2013-05-19,12.6,4.00
2013-05-20,12.4,1.20
2013-05-21,13.1,0.00
2013-05-22,15.8,0.00
2013-05-23,14.9,0.80
2013-05-24,12.2,10.00
2013-05-25,12.0,9.70
2013-05-26,13.0,1.00
2013-05-27,14.7,0.90
2013-05-28,13.4,9.70
2013-05-29,10.6,14.10
2013-05-30,12.0,4.30
2013-05-31,14.5,2.90
2013-06-01,17.7,0.00
2013-06-02,18.0,0.00
2013-06-03,17.1,0.00
2013-06-04,16.4,0.00
2013-06-05,17.6,0.00
2013-06-06,17.7,0.00
2013-06-07,18.7,0.00
2013-06-08,16.8,11.20
2013-06-09,16.6,0.80
2013-06-10,17.1,0.00
2013-06-11,18.7,0.00
2013-06-12,21.0,0.00
2013-06-13,21.7,0.00
2013-06-14,21.9,0.00
2013-06-15,21.3,0.00
2013-06-16,21.9,0.00
2013-06-17,21.5,0.00
2013-06-18,21.1,0.00
2013-06-19,21.1,0.80
2013-06-20,19.1,0.30
2013-06-21,19.0,8.00
2013-06-22,18.8,0.30
2013-06-23,18.9,1.20
2013-06-24,17.3,0.20
2013-06-25,18.3,0.00
2013-06-26,19.2,0.00
2013-06-27,19.1,0.00
2013-06-28,19.5,0.60
2013-06-29,20.1,0.00
2013-06-30,20.8,0.00
2013-07-01,20.8,0.00
2013-07-02,20.9,0.00
2013-07-03,21.0,0.50
2013-07-04,22.2,0.30
2013-07-05,22.6,0.00
2013-07-06,23.3,0.00
2013-07-07,24.3,0.00
2013-07-08,24.1,0.00
2013-07-09,24.1,0.00
2013-07-10,24.4,0.00
2013-07-11,23.2,3.30
2013-07-12,24.4,0.00
2013-07-13,24.6,0.00
2013-07-14,24.6,0.20
2013-07-15,24.9,0.00
2013-07-16,25.2,0.00
2013-07-17,24.7,0.20
2013-07-18,24.0,0.30
2013-07-19,24.3,0.00
2013-07-20,24.2,0.10
2013-07-21,24.2,0.00
2013-07-22,25.0,0.00
2013-07-23,26.1,0.50
2013-07-24,26.6,0.00
2013-07-25,27.0,0.00
2013-07-26,26.7,0.00
2013-07-27,26.8,0.00
2013-07-28,27.2,0.00
2013-07-29,24.7,1.20
2013-07-30,24.5,0.00
2013-07-31,25.4,0.00
2013-08-01,26.1,0.00
2013-08-02,26.3,0.00
2013-08-03,25.4,0.00
2013-08-04,26.0,0.00
2013-08-05,26.8,0.00
2013-08-06,26.6,0.00
2013-08-07,24.4,1.00
2013-08-08,22.0,4.70
2013-08-09,22.8,0.00
2013-08-10,23.7,0.00
2013-08-11,24.1,0.00
2013-08-12,25.5,0.00
2013-08-13,25.8,0.20
2013-08-14,24.6,0.00
2013-08-15,23.8,0.00
2013-08-16,24.1,0.00
2013-08-17,23.5,2.60
2013-08-18,24.0,0.10
2013-08-19,24.4,0.00
2013-08-20,24.1,0.00
2013-08-21,22.7,0.00
2013-08-22,24.2,0.00
2013-08-23,24.1,0.80
2013-08-24,22.7,1.70
2013-08-25,20.0,1.80
2013-08-26,19.9,1.50
2013-08-27,20.4,5.30
2013-08-28,20.6,0.30
2013-08-29,21.5,0.20
2013-08-30,21.9,0.00
2013-08-31,22.3,0.00
2013-09-01,23.0,0.00
2013-09-02,22.6,0.00
2013-09-03,22.1,0.00
2013-09-04,22.1,0.00
2013-09-05,22.3,0.00
