Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Viña Oria,2019,1812139,Garnacha 2019,3.5,327,2.5,España,Cariñena
Ayuso,2017,2084964,Abadia del Roble Tinto 2017,2.9,52,2.54,España,La Mancha
Castillo de Liria,2020,1643745,Bobal - Shiraz 2020,3.4,85,2.56,España,Valencia
Castillo de Liria,2019,1643745,Bobal - Shiraz 2019,3.6,305,2.56,España,Valencia
Finca Venta de Don Quijote,2020,7166356,Tempranillo - Syrah 2020,3.6,129,2.72,España,Castilla
Schenk Spanish Wineries,2019,1884409,Vega Libre Tinto 2019,3.2,304,2.9,España,Valencia
Antaño,2020,1401663,Rioja Tempranillo 2020,3.3,141,2.95,España,Rioja
Marqués de la Concordia,2015,2805851,MM Tinto Crianza 2015,3.1,99,3.0,España,Cataluña
Palacio del Conde,2018,1209992,Crianza 2018,3.2,42,3.01,España,Valencia
Ayuso,2015,2381489,Castillo de Benízar Tempranillo 2015,3.3,151,3.13,España,La Mancha
Monasterio de Las Vinas,2013,1437023,Crianza 2013,3.5,2097,3.225,España,Cariñena
Corona de Aragón,2011,2185794,Special Selection 2011,3.5,285,3.225,España,Cariñena
Señorío de Nava,2019,1136539,Ribera del Duero Tinto 2019,3.2,46,3.3,España,Ribera del Duero
Bodegas Príncipe de Viana,2019,1570095,Colección Monovarietales Syrah Roble 2019,3.3,33,3.3,España,Navarra
Ramón Roqueta,2020,1489241,Synera Tinto 2020,2.9,39,3.45,España,Cataluña
Ramón Roqueta,2018,1489241,Synera Tinto 2018,3.0,225,3.45,España,Cataluña
Félix Solís,2019,3349567,Casa Albali Tempranillo - Shiraz 2019,3.6,147,3.45,España,Valdepeñas
Ramón Roqueta,2019,1489241,Synera Tinto 2019,3.2,103,3.45,España,Cataluña
Bodegas Virgen de la Sierra,2019,1208738,Cruz de Piedra Garnacha Tinto 2019,3.6,94,3.5,España,Calatayud
El Circo,2018,3198808,Equilibrista Cariñena 2018,3.5,43,3.5,España,Cariñena
El Circo,2020,1594712,Arlequín Syrah 2020,3.5,26,3.5,España,Cariñena
Luzon,2018,6065522,Colección Monastrell 2018,3.4,114,3.5,España,Jumilla
Canforrales,2018,1252277,Clásico Tempranillo 2018,3.5,105,3.5,España,La Mancha
Don Diego Escolano,2016,1194905,Reserva 2016,3.0,27,3.51,España,Cariñena
Osborne,2020,81714,Solaz Tempranillo - Cabernet Sauvignon 2020,3.4,158,3.57,España,Castilla
Laudum,2018,3944352,Roble Monastrell - Syrah 2018,3.5,84,3.6,España,Valencia
Las Campanas,2018,3407133,Tempranillo 2018,3.4,28,3.61,España,Navarra
Bach,2020,1255221,Viña Extrísima Tinto 2020,3.1,46,3.65,España,Cataluña
Dominio de Eguren,2018,1207654,Protocolo Tinto 2018,3.6,701,3.65,España,Castilla
Dominio de Eguren,2019,1207654,Protocolo Tinto 2019,3.5,222,3.69,España,Castilla
Garriguella,2020,1196777,Dinarells Tinto 2020,3.2,40,3.7,España,Empordà
Vinoletto,2015,4585737,Garnacha Seco 2015,3.1,33,3.75,España,La Mancha
Bodega Sommos,2019,4171137,Glárima Merlot - Tempranillo 2019,3.5,594,3.75,España,Somontano
Bodegas Faustino,2019,1129392,VII Tempranillo 2019,3.8,4773,3.75,España,Rioja
Vinoletto,2018,4585737,Garnacha Seco 2018,3.4,28,3.75,España,La Mancha
El Circo,2020,2137289,Volatinero Tempranillo 2020,3.6,154,3.75,España,Cariñena
El Circo,2019,2182395,Bailarina Merlot 2019,3.3,35,3.75,España,Cariñena
Félix Solís,2012,2667778,Casa Albali Crianza 2012,2.9,41,3.81,España,Valdepeñas
Aldeya,2019,1595728,Tinto 2019,3.2,32,3.85,España,Cariñena
Ayuso,2017,2198505,Estola Crianza 2017,3.4,239,3.85,España,La Mancha
J. Flores,2018,6038870,Roble 2018,3.5,48,3.875,España,Ribera del Duero
Condesa de Leganza,2017,1173157,Tempranillo 2017,3.4,828,3.88,España,Castilla
Bodegas Aragonesas,2019,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2019,3.6,212,3.9,España,Campo de Borja
Marques de Vitoria,2017,1488465,Rioja Crianza 2017,3.6,365,3.9,España,Rioja
Baluarte,2019,4298499,Roble 2019,3.8,736,3.9,España,Navarra
Baluarte,2017,4298499,Roble 2017,3.7,451,3.9,España,Navarra
Monasterio de Las Vinas,2018,1437023,Crianza 2018,3.8,460,3.9,España,Cariñena
René Barbier,2019,1283889,Roble 2019,3.0,61,3.9,España,Cataluña
Terrai,2020,2321919,OVG Old Vine Garnacha 2020,3.5,27,3.95,España,Cariñena
Bodegas Aragonesas,2020,1144372,Coto de Hayas Garnacha - Syrah 2020,3.5,79,3.95,España,Aragón
Dominio de Eguren,2017,9399,Códice 2017,3.5,244,3.98,España,Castilla y León
El Aviador,2020,1223778,Tempranillo 2020,3.3,56,3.98,España,Castilla y León
Reserva de la Tierra,2017,6485347,Pago de Pelde Syrah - Tempranillo 2017,3.6,72,3.99,España,Terra Alta
Nuviana,2020,5250039,Tinto 2020,3.3,27,3.99,España,Valle del Cinca
Cata Regia,2017,1260784,Reserva Syrah 2017,3.7,562,3.99,España,Terra Alta
Valcarlos,2018,1546447,Fortius Roble 2018,3.5,554,3.99,España,Navarra
Hoya de Cadenas,2017,1437851,Reserva Tempranillo 2017,3.4,244,3.99,España,Utiel-Requena
Oristan,2015,78569,Bronze Crianza 2015,3.4,308,4.0,España,La Mancha
Ca N'Estella,2019,1446183,Clot Dels Oms Petit Tinto 2019,3.4,33,4.0,España,Panadés
Baluarte,2018,4298499,Roble 2018,3.6,565,4.0,España,Navarra
Borsao Bodegas,2020,1136710,Tinto (Selección / Garnacha) 2020,3.6,290,4.04,España,Campo de Borja
Pagos de Aráiz,2019,86346,Navarra Tinto Roble 2019,3.8,29,4.07,España,Navarra
The Freaky Wines,2019,5537773,Tempranillo 2019,3.6,569,4.1,España,Castilla
Marqués de Tosos,2017,4539988,Crianza 2017,3.3,25,4.1,España,Cariñena
Corona de Aragón,2019,1580664,Garnacha 2019,3.3,38,4.15,España,Cariñena
Viña Alcanta,2020,4764038,Tinto 2020,3.5,116,4.16,España,Alicante
Finca del Mar,2018,76609,Tempranillo Crianza 2018,3.4,174,4.166666666666667,España,Utiel-Requena
Familia Torres,2020,1385210,Sangre de Toro 2020,3.1,140,4.185,España,Cataluña
Bodega Pirineos,2020,2696722,Montesierra Red Blend 2020,3.4,88,4.2,España,Somontano
Berceo,2016,1141591,Crianza 2016,3.6,176,4.21,España,Rioja
Federico Paternina,2019,13190,Banda Azul Crianza 2019,3.5,96,4.21,España,Rioja
Falset Marçà,2020,1373160,Imus Selection 2020,3.2,47,4.22,España,Montsant
Raimat,2020,2057155,Clamor Tinto 2020,3.1,165,4.23,España,Costers del Segre
Finca La Estacada,2018,5197184,Ocho y Medio Tinto Velasco 2018,3.5,32,4.25,España,Castilla
Séptimo Sentido,2020,3780395,Tempranillo 2020,3.8,177,4.25,España,Castelló
Corona de Aragón,2020,1580664,Garnacha 2020,3.1,26,4.25,España,Cariñena
Bodega Sommos,2020,4171137,Glárima Merlot - Tempranillo 2020,3.5,212,4.25,España,Somontano
Carlos Serres,2020,1477639,Rioja Tempranillo 2020,3.7,108,4.25,España,Rioja
Bodegas Vallobera,2014,1205627,Crianza Rioja 2014,3.6,634,4.26,España,Rioja
Berceo,2018,5389307,Tempranillo 2018,3.5,167,4.28,España,Rioja
Félix Solís,2014,3993003,Casa Albali Gran Selección 2014,3.4,138,4.34,España,Valdepeñas
Cellers Tarroné,2020,2403659,Sisquera Tinto 2020,3.4,29,4.35,España,Tarragona
Particular,2020,4311709,Garnacha 2020,3.9,88,4.35,España,Cariñena
Bodega Pirineos,2020,5380342,3404 (Tresmilcuatrocientoscuatro) 2020,3.6,226,4.4,España,Somontano
Borsao Bodegas,2019,1136710,Tinto (Selección / Garnacha) 2019,3.6,1089,4.4,España,Campo de Borja
Borsao Bodegas,2019,1216711,Barrica (Selección) 2019,3.4,82,4.4,España,Campo de Borja
Laus,2020,5465255,Tinto Joven 2020,3.2,35,4.4,España,Somontano
Viñas del Vero,2020,23477,Roble Cabernet Sauvignon - Merlot Somontano 2020,3.4,331,4.4,España,Somontano
Gran Feudo,2013,12305,Crianza 2013,3.4,622,4.42,España,Navarra
Venta La Vega - Bodegas Almanseñas,2017,6435494,Adaras Calizo Garnacha Tintorera 2017,3.2,56,4.44,España,Almansa
Azabache,2020,7151382,Tunante de Azabache Tempranillo 2020,3.6,213,4.45,España,Rioja
San Valero,2018,5314823,Origium Roble 2018,3.5,77,4.45,España,Cariñena
Murviedro,2018,1250722,Colección Tempranillo 2018,3.6,312,4.49,España,Valencia
Beso de Vino,2016,3316211,Syrah - Garnacha 2016,3.5,252,4.5,España,Cariñena
Félix Solís,2019,3993003,Casa Albali Gran Selección 2019,3.6,100,4.5,España,Valdepeñas
Yllera,2015,1149907,12 Meses en Barrica Tempranillo 2015,3.7,490,4.5,España,Ribera del Duero
Yllera,2018,5965659,9 Meses en Barrica Roble Tempranillo 2018,3.6,65,4.5,España,Ribera del Duero
Dominio de Eguren,2019,9399,Códice 2019,3.5,40,4.5,España,Castilla y León
El Circo,2016,5386947,Forzudo Crianza 2016,3.7,26,4.5,España,Cariñena
Freixenet,2020,1252649,Mia Tinto 2020,3.4,65,4.5,España,Castilla y León
Beso de Vino,2017,1142511,Old Vine Garnacha 2017,3.7,47,4.5,España,Cariñena
Bodegas Faustino,2020,1129392,VII Tempranillo 2020,3.6,493,4.51,España,Rioja
Oliveda,2020,3296854,Marrec Tinto 2020,3.5,41,4.51,España,Empordà
Viña Cumbrero,2017,4320358,Rioja Crianza 2017,3.4,85,4.6,España,Rioja
Finca La Estacada,2016,3123972,Hello World Petit Verdot 2016,3.4,390,4.62,España,Castilla
Finca La Estacada,2019,3495681,Hello World Cabernet Franc 2019,3.6,109,4.62,España,Castilla
Ayuso,2016,1138136,Estola Reserva 2016,3.6,530,4.66,España,La Mancha
Pagos de Aráiz,2017,1552352,Crianza 2017,3.8,260,4.67,España,Navarra
Valcarlos,2014,1169714,Fortius Crianza 2014,3.6,219,4.67,España,Navarra
Bodegas Valdelana,2017,1583264,Barón Ladrón de Guevara Crianza 2017,3.9,54,4.7,España,Rioja
Laudum,2019,3944352,Roble Monastrell - Syrah 2019,3.7,113,4.7,España,Valencia
Nuntius,2018,1498351,Cosecha 2018,2.9,27,4.71,España,Rioja
Don Diego Escolano,2011,1927816,Gran Reserva 2011,3.4,88,4.73,España,Cariñena
Señorío de Sarria,2016,1125826,Crianza 2016,3.5,313,4.74,España,Navarra
