index,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region,Selected_region
0,Viña Oria,2019,1812139,Garnacha 2019,3.5,327,2.5,España,Cariñena,Catalunya Sul
1,Ayuso,2017,2084964,Abadia del Roble Tinto 2017,2.9,52,2.54,España,La Mancha,other
2,Castillo de Liria,2020,1643745,Bobal - Shiraz 2020,3.4,85,2.56,España,Valencia,other
3,Castillo de Liria,2019,1643745,Bobal - Shiraz 2019,3.6,305,2.56,España,Valencia,other
4,Finca Venta de Don Quijote,2020,7166356,Tempranillo - Syrah 2020,3.6,129,2.72,España,Castilla,other
5,Schenk Spanish Wineries,2019,1884409,Vega Libre Tinto 2019,3.2,304,2.9,España,Valencia,other
6,Antaño,2020,1401663,Rioja Tempranillo 2020,3.3,141,2.95,España,Rioja,Rioja
7,Marqués de la Concordia,2015,2805851,MM Tinto Crianza 2015,3.1,99,3.0,España,Cataluña,Catalunya Sul
8,Palacio del Conde,2018,1209992,Crianza 2018,3.2,42,3.01,España,Valencia,other
9,Ayuso,2015,2381489,Castillo de Benízar Tempranillo 2015,3.3,151,3.13,España,La Mancha,other
10,Monasterio de Las Vinas,2013,1437023,Crianza 2013,3.5,2097,3.225,España,Cariñena,Catalunya Sul
11,Corona de Aragón,2011,2185794,Special Selection 2011,3.5,285,3.225,España,Cariñena,Catalunya Sul
12,Señorío de Nava,2019,1136539,Ribera del Duero Tinto 2019,3.2,46,3.3,España,Ribera del Duero,Ribera del Duero
13,Bodegas Príncipe de Viana,2019,1570095,Colección Monovarietales Syrah Roble 2019,3.3,33,3.3,España,Navarra,other
14,Ramón Roqueta,2020,1489241,Synera Tinto 2020,2.9,39,3.45,España,Cataluña,Catalunya Sul
15,Ramón Roqueta,2018,1489241,Synera Tinto 2018,3.0,225,3.45,España,Cataluña,Catalunya Sul
16,Félix Solís,2019,3349567,Casa Albali Tempranillo - Shiraz 2019,3.6,147,3.45,España,Valdepeñas,other
17,Ramón Roqueta,2019,1489241,Synera Tinto 2019,3.2,103,3.45,España,Cataluña,Catalunya Sul
18,Bodegas Virgen de la Sierra,2019,1208738,Cruz de Piedra Garnacha Tinto 2019,3.6,94,3.5,España,Calatayud,other
19,El Circo,2018,3198808,Equilibrista Cariñena 2018,3.5,43,3.5,España,Cariñena,Catalunya Sul
20,El Circo,2020,1594712,Arlequín Syrah 2020,3.5,26,3.5,España,Cariñena,Catalunya Sul
21,Luzon,2018,6065522,Colección Monastrell 2018,3.4,114,3.5,España,Jumilla,other
22,Canforrales,2018,1252277,Clásico Tempranillo 2018,3.5,105,3.5,España,La Mancha,other
23,Don Diego Escolano,2016,1194905,Reserva 2016,3.0,27,3.51,España,Cariñena,Catalunya Sul
24,Osborne,2020,81714,Solaz Tempranillo - Cabernet Sauvignon 2020,3.4,158,3.57,España,Castilla,other
25,Laudum,2018,3944352,Roble Monastrell - Syrah 2018,3.5,84,3.6,España,Valencia,other
26,Las Campanas,2018,3407133,Tempranillo 2018,3.4,28,3.61,España,Navarra,other
27,Bach,2020,1255221,Viña Extrísima Tinto 2020,3.1,46,3.65,España,Cataluña,Catalunya Sul
28,Dominio de Eguren,2018,1207654,Protocolo Tinto 2018,3.6,701,3.65,España,Castilla,other
29,Dominio de Eguren,2019,1207654,Protocolo Tinto 2019,3.5,222,3.69,España,Castilla,other
30,Garriguella,2020,1196777,Dinarells Tinto 2020,3.2,40,3.7,España,Empordà,other
31,Vinoletto,2015,4585737,Garnacha Seco 2015,3.1,33,3.75,España,La Mancha,other
32,Bodega Sommos,2019,4171137,Glárima Merlot - Tempranillo 2019,3.5,594,3.75,España,Somontano,other
33,Bodegas Faustino,2019,1129392,VII Tempranillo 2019,3.8,4773,3.75,España,Rioja,Rioja
34,Vinoletto,2018,4585737,Garnacha Seco 2018,3.4,28,3.75,España,La Mancha,other
35,El Circo,2020,2137289,Volatinero Tempranillo 2020,3.6,154,3.75,España,Cariñena,Catalunya Sul
36,El Circo,2019,2182395,Bailarina Merlot 2019,3.3,35,3.75,España,Cariñena,Catalunya Sul
37,Félix Solís,2012,2667778,Casa Albali Crianza 2012,2.9,41,3.81,España,Valdepeñas,other
38,Aldeya,2019,1595728,Tinto 2019,3.2,32,3.85,España,Cariñena,Catalunya Sul
39,Ayuso,2017,2198505,Estola Crianza 2017,3.4,239,3.85,España,La Mancha,other
40,J. Flores,2018,6038870,Roble 2018,3.5,48,3.875,España,Ribera del Duero,Ribera del Duero
41,Condesa de Leganza,2017,1173157,Tempranillo 2017,3.4,828,3.88,España,Castilla,other
42,Bodegas Aragonesas,2019,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2019,3.6,212,3.9,España,Campo de Borja,other
43,Marques de Vitoria,2017,1488465,Rioja Crianza 2017,3.6,365,3.9,España,Rioja,Rioja
44,Baluarte,2019,4298499,Roble 2019,3.8,736,3.9,España,Navarra,other
45,Baluarte,2017,4298499,Roble 2017,3.7,451,3.9,España,Navarra,other
46,Monasterio de Las Vinas,2018,1437023,Crianza 2018,3.8,460,3.9,España,Cariñena,Catalunya Sul
47,René Barbier,2019,1283889,Roble 2019,3.0,61,3.9,España,Cataluña,Catalunya Sul
48,Terrai,2020,2321919,OVG Old Vine Garnacha 2020,3.5,27,3.95,España,Cariñena,Catalunya Sul
49,Bodegas Aragonesas,2020,1144372,Coto de Hayas Garnacha - Syrah 2020,3.5,79,3.95,España,Aragón,other
50,Dominio de Eguren,2017,9399,Códice 2017,3.5,244,3.98,España,Castilla y León,other
51,El Aviador,2020,1223778,Tempranillo 2020,3.3,56,3.98,España,Castilla y León,other
52,Reserva de la Tierra,2017,6485347,Pago de Pelde Syrah - Tempranillo 2017,3.6,72,3.99,España,Terra Alta,Catalunya Sul
53,Nuviana,2020,5250039,Tinto 2020,3.3,27,3.99,España,Valle del Cinca,other
